경기장명,대중교통시설구분명,직선거리값,도보거리값,도보이동시간,정류장지하철역명
서울종합운동장 야구장,버스,326.11304,451,406,종합운동장사거리
서울종합운동장 야구장,버스,915.47041,888,859,잠실새내역
서울종합운동장 야구장,버스,982.03649,985,1006,잠실새내역4번출구
서울종합운동장 야구장,버스,531.99487,1011,972,잠실종합운동장
서울종합운동장 야구장,버스,519.74898,894,865,잠실종합운동장
서울종합운동장 야구장,버스,990.56103,1000,1020,잠실새내역4번출구
서울종합운동장 야구장,버스,861.29843,843,818,잠실엘스아파트앞
서울종합운동장 야구장,버스,939.27228,1274,1256,잠실근린공원.성현교회
서울종합운동장 야구장,버스,872.74989,1208,1201,아시아선수촌아파트삼거리.성현교회
서울종합운동장 야구장,버스,454.955,485,497,종합운동장사거리
서울종합운동장 야구장,버스,480.17129,521,589,종합운동장사거리
서울종합운동장 야구장,버스,556.2515,748,733,아시아선수촌아파트
서울종합운동장 야구장,버스,484.46899,642,638,아시아선수촌아파트
서울종합운동장 야구장,버스,761.6582,1291,1275,아주중학교
서울종합운동장 야구장,버스,769.4451,1361,1274,아주중학교
서울종합운동장 야구장,버스,522.41223,990,1160,잠실종합운동장
서울종합운동장 야구장,버스,541.36153,915,884,잠실종합운동장
서울종합운동장 야구장,버스,319.47959,820,980,잠실종합운동장
서울종합운동장 야구장,버스,491.82,543,609,잠실주공1단지
서울종합운동장 야구장,버스,488.03761,517,525,잠실주공1단지
서울종합운동장 야구장,지하철,394.22541,587,598,종합운동장(9)
서울종합운동장 야구장,지하철,334.65876,729,668,종합운동장(8)
서울종합운동장 야구장,지하철,384.87638,812,740,종합운동장(7)
서울종합운동장 야구장,지하철,430.61654,851,844,종합운동장(6)
서울종합운동장 야구장,지하철,480.40276,878,899,종합운동장(5)
서울종합운동장 야구장,지하철,523.27623,991,1163,종합운동장(4)
서울종합운동장 야구장,지하철,471.66444,944,913,종합운동장(3)
서울종합운동장 야구장,지하철,389.8619,837,820,종합운동장(2)
서울종합운동장 야구장,지하철,364.75846,788,774,종합운동장(1)
서울종합운동장 야구장,지하철,394.22541,587,598,종합운동장(9)
서울종합운동장 야구장,지하철,334.65876,729,668,종합운동장(8)
서울종합운동장 야구장,지하철,384.87638,812,740,종합운동장(7)
서울종합운동장 야구장,지하철,430.61654,851,844,종합운동장(6)
서울종합운동장 야구장,지하철,480.40276,878,899,종합운동장(5)
서울종합운동장 야구장,지하철,523.27623,991,1163,종합운동장(4)
서울종합운동장 야구장,지하철,471.66444,944,913,종합운동장(3)
서울종합운동장 야구장,지하철,389.8619,837,820,종합운동장(2)
서울종합운동장 야구장,지하철,364.75846,788,774,종합운동장(1)
대구삼성라이온즈파크,버스,942.29199,1974,2354,유림아파트113동
사직야구장,버스,990.80092,2056,2418,유림스토아
사직야구장,버스,986.30999,2059,2422,유림스토아
사직야구장,버스,475.27621,1197,1531,거제여중
사직야구장,버스,603.36641,1685,2128,수덕사
사직야구장,버스,725.91506,1153,1527,부산의료원
사직야구장,버스,538.32886,854,1084,대우그린타워아파트
사직야구장,버스,541.11872,833,950,부산의료원
사직야구장,버스,980.29622,974,978,부산교육대학교후문
사직야구장,버스,165.55405,263,301,홈플러스
사직야구장,버스,951.43174,1498,1720,계성여상입구
사직야구장,버스,999.93599,1709,1922,거제4동새마을금고
사직야구장,지하철,540.19456,724,865,종합운동장(1)
사직야구장,지하철,374.71614,550,554,종합운동장(11)
사직야구장,지하철,548.78114,727,805,종합운동장(2)
사직야구장,지하철,501.70612,707,838,종합운동장(3)
사직야구장,지하철,407.17609,597,657,종합운동장(4)
사직야구장,지하철,450.13643,655,864,종합운동장(5)
사직야구장,지하철,397.61459,652,810,종합운동장(7)
사직야구장,지하철,362.41184,525,574,종합운동장(9)
사직야구장,버스,819.41961,1760,2157,만수사
사직야구장,버스,823.23081,1755,2151,만수사
사직야구장,버스,784.77106,1651,2041,청구아파트
사직야구장,버스,781.1176,1139,1201,대우아파트
사직야구장,버스,835.83454,1019,1084,법원-검찰청
사직야구장,버스,861.94825,952,959,여명중학교
사직야구장,버스,747.27906,905,917,연제우체국
사직야구장,버스,478.03967,676,711,현대쌍용아파트
사직야구장,버스,462.31908,662,699,현대쌍용아파트
사직야구장,버스,738.70786,897,910,남문초등학교
사직야구장,버스,957.94305,955,961,대선주조
사직야구장,버스,560.18283,768,870,거성교차로(종합운동장역)
사직야구장,버스,79.57627,261,292,사직실내수영장
사직야구장,버스,476.49699,702,929,거성교차로(종합운동장역)
사직야구장,버스,513.2238,804,909,거성교차로
사직야구장,버스,593.3209,938,1026,거제리안동네
사직야구장,버스,700.39317,1006,1245,거제리안동네
사직야구장,버스,850.99017,1229,1291,거제교회
사직야구장,버스,882.11041,1211,1439,거제교회
사직야구장,버스,927.54529,1982,2370,유림아파트113동
사직야구장,버스,162.18691,258,296,홈플러스
사직야구장,버스,344.06144,492,531,종합운동장역
사직야구장,버스,274.90465,494,596,삼정그린코아아파트
사직야구장,버스,270.16372,803,940,삼정그린코아아파트
사직야구장,버스,444.07228,659,698,현대쌍용아파트
